Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91901;1909;2;2229;61;34;133;55;22;14;34;33;47;490;1306;20110101
AT1;AT13;AT130;91901;1910;2;4647;77;30;206;64;19;15;30;67;52;543;3544;20110101
AT1;AT13;AT130;91901;1999;2;8;0;0;1;0;0;0;1;0;0;1;5;20110101
AT1;AT13;AT130;92001;2001;2;4231;319;314;47;104;126;41;42;55;35;492;2656;20110101
AT1;AT13;AT130;92001;2002;2;7510;849;669;126;247;206;93;158;77;57;1054;3974;20110101
AT1;AT13;AT130;92001;2003;2;6927;730;570;171;175;181;124;125;72;60;786;3933;20110101
AT1;AT13;AT130;92001;2004;2;4780;310;285;83;140;120;69;64;64;45;742;2858;20110101
AT1;AT13;AT130;92001;2005;2;5612;674;486;151;196;154;88;174;47;47;804;2791;20110101
AT1;AT13;AT130;92001;2006;2;4355;292;348;62;100;79;47;48;54;42;506;2777;20110101
AT1;AT13;AT130;92001;2007;2;6655;520;482;88;186;144;68;86;80;68;779;4154;20110101
AT1;AT13;AT130;92001;2008;2;2734;291;189;53;108;73;57;57;29;29;299;1549;20110101
AT1;AT13;AT130;92001;2099;2;42;2;2;0;1;0;0;0;3;0;2;32;20110101
AT1;AT13;AT130;92101;2101;2;689;15;1;11;13;2;0;3;5;3;15;621;20110101
AT1;AT13;AT130;92101;2102;2;3581;85;32;69;131;47;29;11;29;33;261;2854;20110101
AT1;AT13;AT130;92101;2103;2;2818;60;27;48;95;15;8;14;22;28;191;2310;20110101
AT1;AT13;AT130;92101;2104;2;2036;52;20;32;23;9;11;31;30;10;122;1696;20110101
AT1;AT13;AT130;92101;2105;2;9710;414;457;118;158;83;29;94;162;46;896;7253;20110101
AT1;AT13;AT130;92101;2106;2;437;47;5;3;3;4;3;11;6;2;30;323;20110101
AT1;AT13;AT130;92101;2107;2;1470;72;27;23;45;24;7;19;20;10;120;1103;20110101
AT1;AT13;AT130;92101;2108;2;1296;38;27;16;11;13;5;6;12;11;92;1065;20110101
AT1;AT13;AT130;92101;2109;2;3534;88;57;67;159;24;13;28;57;30;256;2755;20110101
AT1;AT13;AT130;92101;2110;2;2383;148;62;34;52;35;17;28;28;11;227;1741;20110101
AT1;AT13;AT130;92101;2111;2;2570;84;38;52;72;33;21;31;40;25;278;1896;20110101
AT1;AT13;AT130;92101;2112;2;3780;171;260;43;82;32;17;34;37;11;379;2714;20110101
AT1;AT13;AT130;92101;2113;2;2405;34;17;51;29;5;19;12;33;18;148;2039;20110101
AT1;AT13;AT130;92101;2114;2;2623;83;64;32;35;18;14;31;37;11;189;2109;20110101
AT1;AT13;AT130;92101;2115;2;2311;68;33;28;45;16;9;16;30;36;132;1898;20110101
AT1;AT13;AT130;92101;2116;2;1735;21;3;36;20;3;2;10;37;10;77;1516;20110101
AT1;AT13;AT130;92101;2117;2;3427;205;172;39;83;28;15;28;48;22;277;2510;20110101
AT1;AT13;AT130;92101;2118;2;3568;231;119;81;103;58;57;55;49;28;348;2439;20110101
AT1;AT13;AT130;92101;2119;2;1608;85;33;16;43;16;16;19;13;16;164;1187;20110101
AT1;AT13;AT130;92101;2120;2;872;77;32;19;34;37;11;11;12;5;99;535;20110101
AT1;AT13;AT130;92101;2121;2;3107;311;99;59;81;66;26;69;47;26;306;2017;20110101
AT1;AT13;AT130;92101;2122;2;4326;179;149;83;133;73;35;67;86;41;508;2972;20110101
AT1;AT13;AT130;92101;2123;2;5331;312;138;133;166;99;51;71;63;44;643;3611;20110101
