Bevölkerung in den Gemeinden Tirols nach Altersgruppen, Staatsangehörigkeit, Geburtsland und Migrationshintergrund;;;;;;;;;;;
Population in the municipalities of Tyrol by age, nationality, country of birth and migration background;;;;;;;;;;;
NUTS3;DISTRICT_CODE;NAME;AGE_GRP;POP_TOTAL;POP_AUT_NATIONALITY;POP_FOR_NATIONALITY;POP_AUT_BORN;POP_FOR_BORN;POP_NOM_BACKGROUND;POP_MIG_BACKGROUND;YEAR
AT332;70308;Flaurling;65_00;158;154;4;149;9;148;10;2010
AT332;70309;Fritzens;0_15;340;321;19;329;11;317;23;2010
AT332;70309;Fritzens;16_25;239;225;14;227;12;224;15;2010
AT332;70309;Fritzens;26_45;629;565;64;556;73;553;76;2010
AT332;70309;Fritzens;46_65;514;486;28;466;48;464;50;2010
AT332;70309;Fritzens;65_00;341;336;5;301;40;301;40;2010
AT332;70310;Fulpmes;0_15;757;675;82;715;42;662;95;2010
AT332;70310;Fulpmes;16_25;560;488;72;483;77;467;93;2010
AT332;70310;Fulpmes;26_45;1265;1020;245;931;334;919;346;2010
AT332;70310;Fulpmes;46_65;1087;905;182;821;266;817;270;2010
AT332;70310;Fulpmes;65_00;500;470;30;442;58;441;59;2010
AT332;70311;Gnadenwald;0_15;143;140;3;143;0;140;3;2010
AT332;70311;Gnadenwald;16_25;82;78;4;75;7;75;7;2010
AT332;70311;Gnadenwald;26_45;221;206;15;206;15;206;15;2010
AT332;70311;Gnadenwald;46_65;173;167;6;161;12;158;15;2010
AT332;70311;Gnadenwald;65_00;94;87;7;80;14;79;15;2010
AT332;70312;Götzens;0_15;612;559;53;580;32;551;61;2010
AT332;70312;Götzens;16_25;495;436;59;423;72;423;72;2010
AT332;70312;Götzens;26_45;1205;1040;165;1003;202;999;206;2010
AT332;70312;Götzens;46_65;1050;950;100;901;149;898;152;2010
AT332;70312;Götzens;65_00;526;512;14;453;73;452;74;2010
AT332;70313;Gries am Brenner;0_15;222;207;15;214;8;206;16;2010
AT332;70313;Gries am Brenner;16_25;149;145;4;144;5;144;5;2010
AT332;70313;Gries am Brenner;26_45;369;345;24;342;27;341;28;2010
AT332;70313;Gries am Brenner;46_65;309;299;10;289;20;289;20;2010
AT332;70313;Gries am Brenner;65_00;206;201;5;192;14;192;14;2010
AT332;70314;Gries im Sellrain;0_15;99;98;1;98;1;98;1;2010
AT332;70314;Gries im Sellrain;16_25;68;67;1;66;2;66;2;2010
AT332;70314;Gries im Sellrain;26_45;179;169;10;166;13;166;13;2010
AT332;70314;Gries im Sellrain;46_65;162;152;10;149;13;149;13;2010
AT332;70314;Gries im Sellrain;65_00;75;72;3;66;9;66;9;2010
AT332;70315;Grinzens;0_15;216;202;14;208;8;201;15;2010
AT332;70315;Grinzens;16_25;167;163;4;161;6;160;7;2010
AT332;70315;Grinzens;26_45;387;352;35;348;39;347;40;2010
AT332;70315;Grinzens;46_65;344;321;23;313;31;312;32;2010
AT332;70315;Grinzens;65_00;193;192;1;179;14;179;14;2010
AT332;70317;Gschnitz;0_15;76;73;3;73;3;73;3;2010
AT332;70317;Gschnitz;16_25;49;47;2;47;2;47;2;2010
AT332;70317;Gschnitz;26_45;125;120;5;120;5;120;5;2010
AT332;70317;Gschnitz;46_65;103;102;1;100;3;100;3;2010
AT332;70317;Gschnitz;65_00;62;61;1;60;2;60;2;2010
AT332;70318;Hatting;0_15;246;237;9;241;5;234;12;2010
AT332;70318;Hatting;16_25;139;127;12;128;11;125;14;2010
AT332;70318;Hatting;26_45;401;365;36;357;44;356;45;2010
AT332;70318;Hatting;46_65;289;267;22;255;34;253;36;2010
AT332;70318;Hatting;65_00;155;149;6;140;15;139;16;2010
AT332;70319;Inzing;0_15;606;564;42;576;30;553;53;2010
AT332;70319;Inzing;16_25;458;436;22;433;25;424;34;2010
AT332;70319;Inzing;26_45;1019;929;90;896;123;893;126;2010
AT332;70319;Inzing;46_65;950;897;53;858;92;856;94;2010
AT332;70319;Inzing;65_00;469;462;7;422;47;421;48;2010
AT332;70320;Kematen in Tirol;0_15;417;391;26;399;18;384;33;2010
AT332;70320;Kematen in Tirol;16_25;338;324;14;321;17;320;18;2010
AT332;70320;Kematen in Tirol;26_45;789;693;96;656;133;652;137;2010
AT332;70320;Kematen in Tirol;46_65;703;653;50;627;76;624;79;2010
AT332;70320;Kematen in Tirol;65_00;324;318;6;278;46;278;46;2010
AT332;70322;Kolsass;0_15;271;261;10;264;7;258;13;2010
AT332;70322;Kolsass;16_25;175;170;5;169;6;169;6;2010
AT332;70322;Kolsass;26_45;450;421;29;407;43;407;43;2010
AT332;70322;Kolsass;46_65;385;368;17;352;33;352;33;2010
AT332;70322;Kolsass;65_00;225;224;1;208;17;208;17;2010
AT332;70323;Kolsassberg;0_15;130;129;1;126;4;125;5;2010
AT332;70323;Kolsassberg;16_25;110;107;3;106;4;106;4;2010
AT332;70323;Kolsassberg;26_45;206;189;17;189;17;189;17;2010
AT332;70323;Kolsassberg;46_65;208;198;10;195;13;194;14;2010
AT332;70323;Kolsassberg;65_00;88;88;0;83;5;83;5;2010
AT332;70325;Lans;0_15;156;143;13;151;5;143;13;2010
AT332;70325;Lans;16_25;120;110;10;108;12;108;12;2010
AT332;70325;Lans;26_45;246;218;28;215;31;214;32;2010
AT332;70325;Lans;46_65;239;219;20;210;29;208;31;2010
AT332;70325;Lans;65_00;157;150;7;136;21;135;22;2010
AT332;70326;Leutasch;0_15;339;286;53;302;37;279;60;2010
AT332;70326;Leutasch;16_25;259;217;42;212;47;211;48;2010
AT332;70326;Leutasch;26_45;617;479;138;456;161;455;162;2010
AT332;70326;Leutasch;46_65;653;539;114;521;132;519;134;2010
AT332;70326;Leutasch;65_00;354;312;42;285;69;283;71;2010
AT332;70327;Matrei am Brenner;0_15;121;115;6;112;9;110;11;2010
AT332;70327;Matrei am Brenner;16_25;124;116;8;113;11;112;12;2010
AT332;70327;Matrei am Brenner;26_45;246;226;20;222;24;222;24;2010
AT332;70327;Matrei am Brenner;46_65;253;236;17;230;23;230;23;2010
AT332;70327;Matrei am Brenner;65_00;158;153;5;140;18;140;18;2010
AT332;70328;Mieders;0_15;302;274;28;284;18;271;31;2010
AT332;70328;Mieders;16_25;261;242;19;241;20;235;26;2010
AT332;70328;Mieders;26_45;512;413;99;399;113;393;119;2010
AT332;70328;Mieders;46_65;465;398;67;381;84;380;85;2010
AT332;70328;Mieders;65_00;213;205;8;191;22;191;22;2010
AT332;70329;Mils;0_15;714;667;47;683;31;658;56;2010
AT332;70329;Mils;16_25;452;419;33;420;32;411;41;2010
AT332;70329;Mils;26_45;1185;1072;113;1023;162;1019;166;2010
AT332;70329;Mils;46_65;1081;1011;70;959;122;958;123;2010
AT332;70329;Mils;65_00;719;693;26;601;118;595;124;2010
AT332;70330;Mühlbachl;0_15;238;218;20;231;7;217;21;2010
AT332;70330;Mühlbachl;16_25;146;139;7;139;7;138;8;2010
AT332;70330;Mühlbachl;26_45;369;327;42;314;55;313;56;2010
AT332;70330;Mühlbachl;46_65;335;298;37;281;54;280;55;2010
AT332;70330;Mühlbachl;65_00;256;250;6;235;21;234;22;2010
AT332;70331;Mutters;0_15;299;285;14;285;14;275;24;2010
AT332;70331;Mutters;16_25;232;224;8;221;11;221;11;2010
AT332;70331;Mutters;26_45;570;510;60;498;72;496;74;2010
AT332;70331;Mutters;46_65;538;493;45;480;58;479;59;2010
AT332;70331;Mutters;65_00;344;338;6;300;44;299;45;2010
AT332;70332;Natters;0_15;293;284;9;283;10;280;13;2010
AT332;70332;Natters;16_25;230;217;13;209;21;206;24;2010
AT332;70332;Natters;26_45;512;442;70;418;94;417;95;2010
AT332;70332;Natters;46_65;559;523;36;499;60;497;62;2010
AT332;70332;Natters;65_00;301;293;8;252;49;252;49;2010
AT332;70333;Navis;0_15;348;341;7;342;6;339;9;2010
AT332;70333;Navis;16_25;290;286;4;285;5;285;5;2010
AT332;70333;Navis;26_45;634;597;37;593;41;592;42;2010
AT332;70333;Navis;46_65;446;440;6;432;14;431;15;2010
AT332;70333;Navis;65_00;249;245;4;239;10;238;11;2010
AT332;70334;Neustift im Stubaital;0_15;798;749;49;775;23;741;57;2010
AT332;70334;Neustift im Stubaital;16_25;640;574;66;559;81;559;81;2010
AT332;70334;Neustift im Stubaital;26_45;1419;1198;221;1169;250;1167;252;2010
